unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
C#N,CN,69.4418495,2,12.98651589
CC#N,CCN,56.44168625,2,8.946943091
C#CC#N,CCCN,106.1588106,4,13.64842163
N#CC#N,NCCN,74.8083715,4,13.42228778
O=CC#C,OCCC,123.7380647,3,10.06859875
O=CC#N,OCCN,77.55902033,3,9.904465926
CCC#N,CCCN,57.62316125,2,6.824210816
NCC#N,NCCN,64.22366825,2,6.711143889
OCC#C,OCCC,150.4070185,2,6.712399167
OCC#N,OCCN,71.60394875,2,6.602977284
N1C=CC=C1,N1CCCC1,49.28457325,2,5.672015826
N1C=CN=C1,N1CCNC1,29.28351425,2,5.593686897
O1C=CC=C1,O1CCCC1,67.65257125,2,5.594558923
O1C=CN=C1,O1CCNC1,47.69614575,2,5.518340328
CC(=O)C#C,CC(O)CC,117.5917692,3,8.163482952
CC(=O)C#N,CC(O)CN,69.57487483,3,8.055252372
NC(=O)C#C,NC(O)CC,102.1275742,3,8.055252372
CC(C)C#C,CC(C)CC,141.3437925,2,5.591735371
CC(C)C#N,CC(C)CN,58.664172,2,5.515593168
C#CCC#N,CCCCN,104.4450155,4,11.03118634
N#CCC#N,NCCCN,66.91480575,4,10.8829935
O=CCC#C,OCCCC,117.8368158,3,8.163482952
O=CCC#N,OCCCN,65.68563417,3,8.055252372
CC#CC#N,CCCCN,97.74080125,4,11.03118634
CCCC#N,CCCCN,55.8155045,2,5.515593168
C#CC1CN1,CCC1CN1,145.9764872,2,5.672015826
N#CC1CC1,NCC1CC1,57.82269925,2,5.672015826
N#CC1CN1,NCC1CN1,64.89317075,2,5.593686897
N#CC1CO1,NCC1CO1,73.088669,2,5.518340328
N1C=CC=N1,N1CCCN1,17.459575,2,5.593686897
N1C=CN=N1,N1CCNN1,0.70757225,2,5.517491899
N1C=NC=N1,N1CNCN1,2.21460925,2,5.517491899
N1C=NN=C1,N1CNNC1,2.767277,2,5.517491899
N1N=CC=N1,N1NCCN1,2.49553775,2,5.517491899
O1C=CC=N1,O1CCCN1,37.560403,2,5.518340328
CC(=NO)C#C,CC(NO)CC,108.22311,3,6.787914608
C1=CC=NC=C1,C1CCNCC1,56.899836,3,7.106605528
C1=CN=CC=N1,C1CNCCN1,52.557259,3,7.024443813
C1=CN=CN=C1,C1CNCNC1,49.99039517,3,7.024443813
