,Unnamed: 0,unsat_SMILE,sat_SMILE,delta_H,nH2,pH2,heavy_atom_count,molar_mass,nOxygen,nNitrogen,nAromaticRings,nHBD
0,0,C#N,CN,69.4418495,2,12.98651589,2,27.025999999999996,0,1,0,0
1,1,CC#N,CCN,56.44168625,2,8.946943091,3,41.053,0,1,0,0
2,2,C#CC#N,CCCN,106.1588106,4,13.64842163,4,51.047999999999995,0,1,0,0
3,3,N#CC#N,NCCN,74.8083715,4,13.42228778,4,52.035999999999994,0,2,0,0
4,4,O=CC#C,OCCC,123.7380647,3,10.06859875,4,54.047999999999995,1,0,0,0
5,5,O=CC#N,OCCN,77.55902033,3,9.904465926,4,55.035999999999994,1,1,0,0
6,6,CCC#N,CCCN,57.62316125,2,6.824210816,4,55.07999999999999,0,1,0,0
7,7,NCC#N,NCCN,64.22366825,2,6.711143889,4,56.06799999999999,0,2,0,1
8,8,OCC#C,OCCC,150.4070185,2,6.712399167,4,56.064,1,0,0,1
9,9,OCC#N,OCCN,71.60394875,2,6.602977284,4,57.052,1,1,0,1
10,10,N1C=CC=C1,N1CCCC1,49.28457325,2,5.672015826,5,67.09100000000001,0,1,1,1
11,11,N1C=CN=C1,N1CCNC1,29.28351425,2,5.593686897,5,68.079,0,2,1,1
12,12,O1C=CC=C1,O1CCCC1,67.65257125,2,5.594558923,5,68.075,1,0,1,0
13,13,O1C=CN=C1,O1CCNC1,47.69614575,2,5.518340328,5,69.06299999999999,1,1,1,0
14,14,CC(=O)C#C,CC(O)CC,117.5917692,3,8.163482952,5,68.07499999999999,1,0,0,0
15,15,CC(=O)C#N,CC(O)CN,69.57487483,3,8.055252372,5,69.063,1,1,0,0
16,16,NC(=O)C#C,NC(O)CC,102.1275742,3,8.055252372,5,69.06299999999999,1,1,0,1
17,17,CC(C)C#C,CC(C)CC,141.3437925,2,5.591735371,5,68.11899999999999,0,0,0,0
18,18,CC(C)C#N,CC(C)CN,58.664172,2,5.515593168,5,69.107,0,1,0,0
19,19,C#CCC#N,CCCCN,104.4450155,4,11.03118634,5,65.075,0,1,0,0
20,20,N#CCC#N,NCCCN,66.91480575,4,10.8829935,5,66.063,0,2,0,0
21,21,O=CCC#C,OCCCC,117.8368158,3,8.163482952,5,68.07499999999999,1,0,0,0
22,22,O=CCC#N,OCCCN,65.68563417,3,8.055252372,5,69.063,1,1,0,0
23,23,CC#CC#N,CCCCN,97.74080125,4,11.03118634,5,65.075,0,1,0,0
24,24,CCCC#N,CCCCN,55.8155045,2,5.515593168,5,69.107,0,1,0,0
25,25,C#CC1CN1,CCC1CN1,145.9764872,2,5.672015826,5,67.091,0,1,0,1
26,26,N#CC1CC1,NCC1CC1,57.82269925,2,5.672015826,5,67.09100000000001,0,1,0,0
27,27,N#CC1CN1,NCC1CN1,64.89317075,2,5.593686897,5,68.079,0,2,0,1
28,28,N#CC1CO1,NCC1CO1,73.088669,2,5.518340328,5,69.063,1,1,0,0
29,29,N1C=CC=N1,N1CCCN1,17.459575,2,5.593686897,5,68.07900000000001,0,2,1,1
30,30,N1C=CN=N1,N1CCNN1,0.70757225,2,5.517491899,5,69.06700000000001,0,3,1,1
31,31,N1C=NC=N1,N1CNCN1,2.21460925,2,5.517491899,5,69.067,0,3,1,1
32,32,N1C=NN=C1,N1CNNC1,2.767277,2,5.517491899,5,69.067,0,3,1,1
33,33,N1N=CC=N1,N1NCCN1,2.49553775,2,5.517491899,5,69.06700000000001,0,3,1,1
34,34,O1C=CC=N1,O1CCCN1,37.560403,2,5.518340328,5,69.063,1,1,1,0
35,35,CC(=NO)C#C,CC(NO)CC,108.22311,3,6.787914608,6,83.08999999999999,1,1,0,1
36,36,C1=CC=NC=C1,C1CCNCC1,56.899836,3,7.106605528,6,79.10199999999998,0,1,1,0
37,37,C1=CN=CC=N1,C1CNCCN1,52.557259,3,7.024443813,6,80.09,0,2,1,0
38,38,C1=CN=CN=C1,C1CNCNC1,49.99039517,3,7.024443813,6,80.08999999999999,0,2,1,0
39,39,C1=NC=NC=N1,C1NCNCN1,44.67375767,3,6.94416018,6,81.07799999999999,0,3,1,0
40,40,CC#CC(N)=O,CCCC(N)O,95.0089685,3,6.787914608,6,83.09,1,1,0,1
41,41,CC(=O)CC#C,CC(O)CCC,113.4198497,3,6.864606127,6,82.10199999999999,1,0,0,0
42,42,CC(=O)CC#N,CC(O)CCN,66.42427483,3,6.787914608,6,83.09,1,1,0,0
43,43,NC(=O)CC#C,NC(O)CCC,98.49213183,3,6.787914608,6,83.08999999999999,1,1,0,1
44,44,NC(=O)CC#N,NC(O)CCN,45.52179417,3,6.712917755,6,84.078,1,2,0,1
45,45,O=C(C#C)C#C,OC(CC)CC,134.05803,5,11.44101021,6,78.07,1,0,0,0
46,46,O=C(C#C)C#N,OC(CC)CN,106.8673018,5,11.31319101,6,79.058,1,1,0,0
47,47,O=C(C#N)C#N,OC(CN)CN,84.0391044,5,11.18819626,6,80.046,1,2,0,0
48,48,O=CC(=O)C#C,OCC(O)CC,117.93746,4,8.951673329,6,82.05799999999999,2,0,0,0
49,49,O=CC(=O)C#N,OCC(O)CN,84.89948075,4,8.853838737,6,83.046,2,1,0,0
50,50,CC(C#C)C#C,CC(CC)CC,144.3145457,4,9.363189349,6,78.11399999999999,0,0,0,0
51,51,CC(C#C)C#N,CC(CC)CN,105.0876066,4,9.256206673,6,79.102,0,1,0,0
52,52,CC(C#N)C#N,CC(CN)CN,68.01489025,4,9.151641122,6,80.09,0,2,0,0
53,53,NC(C#C)C#N,NC(CC)CN,110.4554414,4,9.151641122,6,80.09,0,2,0,1
54,54,NC(C#N)C#N,NC(CN)CN,74.65543613,4,9.049411692,6,81.078,0,3,0,1
55,55,OC(C#C)C#C,OC(CC)CC,151.7053283,4,9.152808169,6,80.086,1,0,0,1
56,56,OC(C#C)C#N,OC(CC)CN,113.7950774,4,9.050552811,6,81.07400000000001,1,1,0,1
57,57,OC(C#N)C#N,OC(CN)CN,80.64091975,4,8.950557007,6,82.062,1,2,0,1
58,58,CC(C=O)C#C,CC(CO)CC,118.3076555,3,6.864606127,6,82.10199999999999,1,0,0,0
59,59,CC(C=O)C#N,CC(CO)CN,65.91492783,3,6.787914608,6,83.09,1,1,0,0
60,60,OC(C=O)C#C,OC(CO)CC,124.8967853,3,6.713754997,6,84.074,2,0,0,1
61,61,OC(C=O)C#N,OC(CO)CN,74.08023283,3,6.640379052,6,85.06200000000001,2,1,0,1
62,62,CN=C(N)C#N,CNC(N)CN,64.38076067,3,6.787058769,6,83.094,0,3,0,1
63,63,CCC(=O)C#N,CCC(O)CN,68.7119605,3,6.787914608,6,83.09,1,1,0,0
64,64,CNC(=N)C#N,CNC(N)CN,61.6283615,3,6.787058769,6,83.09400000000001,0,3,0,2
65,65,CNC(=O)C#C,CNC(O)CC,100.435877,3,6.787914608,6,83.08999999999999,1,1,0,1
66,66,COC(=O)C#C,COC(O)CC,104.0721945,3,6.713754997,6,84.074,2,0,0,0
67,67,COC(=O)C#N,COC(O)CN,58.91446967,3,6.640379052,6,85.06200000000001,2,1,0,0
68,68,OCC(=O)C#C,OCC(O)CC,126.4397042,3,6.713754997,6,84.074,2,0,0,1
